hour; t(sec); P1 (kW); Q1 (kvar); P2 (kW); Q2 (kvar); P3 (kW); Q3 (kvar); P4 (kW); Q4 (kvar);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;0;240;-2.44E-05;240;4.39E-05;240;-1.99E-05;0;0;720;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;900;240;3.03E-07;240;4.54E-07;240;-6.95E-07;0;0;720;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;1800;-13.3332;-1.86E-05;-13.3334;7.78E-05;-13.3334;-3.23E-05;0;0;-40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;2700;-13.3333;-1.69E-08;-13.3333;8.15E-09;-13.3333;-2.36E-10;0;0;-39.9999;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;0;-13.3333;-6.82E-10;-13.3333;1.01E-09;-13.3333;-1.53E-10;0;0;-39.9999;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;900;-13.3333;-1.71E-12;-13.3333;1.34E-12;-13.3333;7.22E-13;0;0;-39.9999;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;1800;-13.3333;-5.15E-14;-13.3333;5.55E-14;-13.3333;3.00E-14;0;0;-39.9999;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;2700;-293.335;-0.00218595;-293.332;-0.00012991;-293.334;0.000972725;0;0;-880.001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;0;-293.333;2.82E-06;-293.333;-7.80E-06;-293.333;2.71E-06;0;0;-879.999;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;900;-293.333;2.19E-09;-293.333;-4.21E-08;-293.333;2.68E-08;0;0;-879.999;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;1800;-386.669;-0.00400228;-386.657;-0.00266448;-386.67;0.00543633;0;0;-1159.996;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
